country_name,2016,2017,2018,2019,2020,2021,2022,2023,2024
Marshall Islands,-1.5,0.1,0.8,-0.1,-0.7,2.2,3.2,5.2,2.8
Mauritania,1.5,2.3,3.1,2.3,2.4,3.6,9.6,7.5,4
Mauritius,1,3.7,3.2,0.5,2.5,4,10.8,7.8,6.5
Mexico,2.8,6,4.9,3.6,3.4,5.7,7.9,5.5,3.8
"Micronesia, Fed. States of",-0.9,0.1,1,2.2,1,1.8,5,5.3,4.1
Moldova,6.4,6.5,3.6,4.8,3.8,5.1,28.6,13.3,5
Mongolia,0.7,4.3,6.8,7.3,3.7,7.4,15.2,12.3,12.2
Montenegro,-0.3,2.4,2.6,0.4,-0.2,2.4,13,8.3,4.3
Morocco,1.5,0.7,1.6,0.2,0.7,1.4,6.6,6.3,3.5
Mozambique,17.4,15.1,3.9,2.8,3.1,5.7,9.8,7.4,6.5
Myanmar,9.1,4.6,5.9,8.6,5.7,3.6,16.2,14.2,7.8
Namibia,6.7,6.1,4.3,3.7,2.2,3.6,6.1,6,4.9
Nauru,8.2,5.1,-14.4,4.2,1,2,4.8,6.1,5
Nepal,9.9,4.5,4.1,4.6,6.1,3.6,6.3,7.8,6.7
Netherlands,0.1,1.3,1.6,2.7,1.1,2.8,11.6,4,4.2
New Zealand,0.6,1.9,1.6,1.6,1.7,3.9,7.2,4.9,2.7
Nicaragua,3.5,3.9,4.9,5.4,3.7,4.9,10.5,9.1,5
Niger,0.2,0.2,2.8,-2.5,2.9,3.8,4.2,4.6,6.6
Nigeria,15.7,16.5,12.1,11.4,13.2,17,18.8,25.1,23
North Macedonia ,-0.2,1.4,1.5,0.8,1.2,3.2,14.2,10,4.3
Norway,3.6,1.9,2.8,2.2,1.3,3.5,5.8,5.8,3.7
Oman,1.1,1.6,0.9,0.1,-0.9,1.5,2.8,1.1,1.7
Pakistan,2.9,4.1,3.9,6.7,10.7,8.9,12.1,29.2,23.6
Palau,-1.3,1.1,2.4,0.4,0.7,-0.5,13.2,12.5,4.6
Panama,0.7,0.9,0.8,-0.4,-1.6,1.6,2.9,1.5,1.9
Papua New Guinea,6.7,5.4,4.4,3.9,4.9,4.5,5.3,5,4.9
Paraguay,4.1,3.6,4,2.8,1.8,4.8,9.8,4.7,4.1
Peru,3.6,2.8,1.3,2.1,1.8,4,7.9,6.5,2.9
Philippines,1.2,2.9,5.3,2.4,2.4,3.9,5.8,5.8,3.2
Poland,-0.7,2,1.8,2.2,3.4,5.1,14.4,12,6.4
Portugal,0.6,1.6,1.2,0.3,-0.1,0.9,8.1,5.3,3.4
Puerto Rico,-0.3,1.8,1.3,0.1,-0.5,2.4,5.9,2.9,1.5
Qatar,2.7,0.6,0.1,-0.9,-2.5,2.3,5,2.8,2.3
Romania,-1.6,1.3,4.6,3.8,2.6,5,13.8,10.7,5.8
Russian Federation,7,3.7,2.9,4.5,3.4,6.7,13.8,5.3,6.3
Rwanda,5.7,4.8,1.4,2.4,7.7,0.8,13.9,14.5,6
Saint Kitts and Nevis,-0.7,0.7,-1,-0.3,-1.2,1.2,2.7,2.9,2.3
Saint Lucia,-3.1,0.1,2.6,0.5,-1.8,2.4,6.4,3.6,2
Saint Vincent and the Grenadines,-0.2,2.2,2.3,0.9,-0.6,1.6,5.7,4.4,2.4
Samoa,0.1,1.3,3.7,2.2,1.5,-3,8.7,12,5
San Marino,0.6,1,1.2,0.5,-0.1,2.1,5.3,5.9,2.5
Saudi Arabia,2.1,-0.8,2.5,-2.1,3.4,3.1,2.5,2.5,2.2
Senegal,1.2,1.1,0.5,1,2.5,2.2,9.7,6.1,3.3
Serbia,1.1,3.1,2,1.8,1.6,4.1,12,12.4,5.3
Seychelles,-1,2.9,3.7,1.8,1.2,9.8,2.6,-0.8,2
Sierra Leone,10.9,18.2,16,14.8,13.4,11.9,27.2,42.9,29.7
Singapore,-0.5,0.6,0.4,0.6,-0.2,2.3,6.1,5.5,3.5
Slovak Republic,-0.5,1.4,2.5,2.8,2,2.8,12.1,10.9,4.8
Slovenia,-0.1,1.4,1.7,1.6,-0.1,1.9,8.8,7.4,4.2
Solomon Islands,0.5,0.5,3.5,1.6,3,-0.1,5.5,4.9,4
Somalia,0,4,4.3,4.5,4.3,4.6,6.8,5.7,4.1
South Africa,6.3,5.3,4.6,4.1,3.3,4.6,6.9,5.8,4.8
"South Sudan, Republic of",346.1,213,83.4,49.3,24,30.2,-3.2,16.3,13.6
Spain,-0.3,2,1.7,0.8,-0.3,3,8.3,3.5,3.9
Sri Lanka,4,6.6,4.3,4.3,4.6,6,45.2,,
Sudan,17.8,32.4,63.3,51,163.3,359.1,138.8,256.2,152.4
Suriname,55.5,22,6.9,4.4,34.9,59.1,52.4,53.3,30.9
Sweden,1.1,1.9,2,1.7,0.7,2.7,8.1,6.9,3.6
Switzerland,-0.4,0.5,0.9,0.4,-0.7,0.6,2.8,2.2,2
São Tomé and Príncipe,5.4,5.7,7.9,7.7,9.8,8.1,18,20.8,11.9
Taiwan Province of China,1.4,0.6,1.4,0.6,-0.2,2,2.9,2.1,1.5
Tajikistan,5.9,7.3,3.8,7.8,8.6,9,6.6,4.6,5.7
Tanzania,5.2,5.3,3.5,3.4,3.3,3.7,4.4,4,4
Thailand,0.2,0.7,1.1,0.7,-0.8,1.2,6.1,1.5,1.6
Timor-Leste,-1.5,0.5,2.3,0.9,0.5,3.8,7,6,2.5
Togo,0.9,-0.2,0.9,0.7,1.8,4.5,7.6,5,2.8
Tonga,-0.6,7.2,6.8,3.3,0.4,1.4,8.5,10.2,5.8
Trinidad and Tobago,3.1,1.9,1,1,0.6,2.1,5.8,5.4,2.9
Tunisia,3.6,5.3,7.3,6.7,5.6,5.7,8.3,9.4,9.8
Turkmenistan,3.6,8,13.3,5.1,6.1,19.5,11.2,5.9,10.5
Tuvalu,3.5,4.1,2.2,3.5,1.9,6.2,11.5,6.2,3.8
"Türkiye, Republic of",7.8,11.1,16.3,15.2,12.3,19.6,72.3,51.2,62.5
Uganda,5.2,5.6,2.5,2.1,2.8,2.2,7.2,5.8,4.7
Ukraine,13.9,14.4,10.9,7.9,2.7,9.4,20.2,17.7,13
United Arab Emirates,1.6,2,3.1,-1.9,-2.1,-0.1,4.8,3.1,2.3
United Kingdom,0.7,2.7,2.5,1.8,0.9,2.6,9.1,7.7,3.7
United States,1.3,2.1,2.4,1.8,1.3,4.7,8,4.1,2.8
Uruguay,9.6,6.2,7.6,7.9,9.8,7.7,9.1,6.1,5.9
Uzbekistan,8.8,13.9,17.5,14.5,12.9,10.8,11.4,10.2,10
Vanuatu,0.8,3.1,2.4,2.7,5.3,2.3,7,9.3,5.7
Venezuela,254.9,438.1,65374.1,19906,2355.1,1588.5,186.5,360,200
Vietnam,2.7,3.5,3.5,2.8,3.2,1.8,3.2,3.4,3.4
West Bank and Gaza,-0.2,0.2,-0.2,1.6,-0.7,1.2,3.7,3.4,2.7
Yemen,21.3,30.4,33.6,15.7,21.7,31.5,29.5,14.9,17.3
Zambia,17.9,6.6,7.5,9.2,15.7,22,11,10.6,9.6
Zimbabwe,-1.6,0.9,10.6,255.3,557.2,98.5,193.4,314.5,222.4
